Wavelength (nm) ,Transmission (%)
237.0,2.74
307.7,4.56
365.6,7.80
397.6,11.73
420.0,16.29
441.2,21.78
450.7,25.71
461.3,30.54
473.9,37.15
499.4,43.83
521.8,47.66
528.0,51.79
560.0,56.65
614.6,61.08
685.4,62.65
756.2,63.34
827.0,64.59
897.7,67.24
968.5,68.86
1039.2,70.66
1110.0,72.52
1180.8,74.32
1251.5,76.08
1322.3,77.84
1393.1,79.46
1463.8,81.08
1534.6,82.57
1605.4,83.86
1676.2,85.05
1747.0,86.11
1817.8,86.89
1888.6,87.73
1959.4,88.42
2030.2,89.05
2101.0,89.55
2171.8,89.80
2242.7,89.90
2313.5,90.74
2384.3,91.06
2455.1,91.21
2493.8,90.96
